location,region,location_uk,location_ru,eng_oblast,eng_region,location_en,location_en_ru,russian_new
Промінь,Дніпропетровська область,Промінь,Луч,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Promin,Luch,Проминь
Пропашне,Дніпропетровська область,Пропашне,Пропашное,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Propashne,Propashnoe,Пропашное
Пшеничне,Дніпропетровська область,Пшеничне,Пшеничное,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Pshenychne,Pshenichnoe,Пшеничное
Письмечеве,Дніпропетровська область,Письмечеве,Письменное,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Pysmecheve,Pismennoe,Письменное
Розтання,Дніпропетровська область,Розтання,Розтання,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Roztannia,Roztannya,Ростания
Рясне,Дніпропетровська область,Рясне,Обильное,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Riasne,Obilnoe,Рясне
Шестипілля,Дніпропетровська область,Шестипілля,Шестипілля,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Shestypillia,Shestipіllya,Шестиполье
Широкополе,Дніпропетровська область,Широкополе,Широкополе,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Shyrokopole,Shirokopole,Широкополе
Стародніпровське,Дніпропетровська область,Стародніпровське,Староднепровское,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Starodniprovske,Starodneprovskoe,Староднепровское
Суданівка,Дніпропетровська область,Суданівка,Судановка,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Sudanivka,Sudanovka,Судановка
Сурсько-Михайлівка,Дніпропетровська область,Сурсько-Михайлівка,Сурско-Михайловка,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Sursko-Mykhailivka,Sursko-Mikhaylovka,Сурско-Михайловка
Томаківка,Дніпропетровська область,Томаківка,Томаковка,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Tomakivka,Tomakovka,Томаковка
Товариський Труд,Дніпропетровська область,Товариський Труд,Товарищеский Труд,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Tovaryskyi Trud,Tovarishcheskiy Trud,Товарищеский Труд
Тракторне,Дніпропетровська область,Тракторне,Тракторное,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Traktorne,Traktornoe,Тракторное
Тритузне,Дніпропетровська область,Тритузне,Тритузное,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Trytuzne,Trituznoe,Тритузное
Військове,Дніпропетровська область,Військове,Военное,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Viiskove,Voennoe,Военное
Виленка,Дніпропетровська область,Віленка,Виленко,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Vylenka,Vilenko,Виленко
Войкове,Дніпропетровська область,Войкове,Войково,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Voikove,Voykovo,Войково
Вовніги,Дніпропетровська область,Вовніги,Вовниги,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Vovnihy,Vovnigi,Вовниги
Якимівка,Дніпропетровська область,Якимівка,Акимовка,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Yakymivka,Akimovka,Акимовка
Жданове,Дніпропетровська область,Жданове,Жданове,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Zhdanove,Zhdanove,Жданове
Звонецьке,Дніпропетровська область,Звонецьке,Звонецкое,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Zvonetske,Zvonetskoe,Звонецкое
Звонецький Хутір,Дніпропетровська область,Звонецький Хутір,Звонецкий Хутор,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Zvonetskyi Khutir,Zvonetskiy Khutor,Звонецкий Хутор
Бегма,Дніпропетровська область,Бегма,Бегма,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Behma,Begma,Бегма
Березнуватка,Дніпропетровська область,Березнуватка,Березнуватка,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Bereznuvatka,Bereznuvatka,Березнуватка
Богуславка,Дніпропетровська область,Богуславка,Богуславка,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Bohuslavka,Boguslavka,Богуславка
Бурханівка,Дніпропетровська область,Бурханівка,Бурханівка,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Burkhanivka,Burkhanіvka,Бурхановка
Циганівка,Дніпропетровська область,Циганівка,Цыгановка,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Tsyhanivka,Tsyganovka,Цыгановка
Дерезувате,Дніпропетровська область,Дерезувате,Дерезувате,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Derezuvate,Derezuvate,Дерезувате
Дубо-Осокорівка,Дніпропетровська область,Дубо-Осокорівка,Дубо-Осокоровка,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Dubo-Osokorivka,Dubo-Osokorovka,Дубо-Осокоровка
Георгіївка,Дніпропетровська область,Георгіївка,Георгиевка,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Heorhiivka,Georgievka,Георгиевка
Гірки,Дніпропетровська область,Гірки,Горки,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Hirky,Gorki,Горки
Гострий Камінь,Дніпропетровська область,Гострий Камінь,Острый Камень,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Hostryi Kamin,Ostryy Kamen,Острый Камень
Грушувато-Криничне,Дніпропетровська область,Грушувато-Криничне,Грушувато-Криничное,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Hrushuvato-Krynychne,Grushuvato-Krinichnoe,Грушувато-Криничное
Грякувате,Дніпропетровська область,Грякувате,Гряковатое,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Hriakuvate,Gryakovatoe,Гряковатое
Хорошеве,Дніпропетровська область,Хорошеве,Хорошее,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Khorosheve,Khoroshee,Хорошее
Іларіонове,Дніпропетровська область,Іларіонове,Илларионово,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Ilarionove,Illarionovo,Илларионово
Кам'януватка,Дніпропетровська область,Кам'януватка,Каменоватка,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Kamianuvatka,Kamenovatka,Каменоватка
Катражка,Дніпропетровська область,Катражка,Катражка,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Katrazhka,Katrazhka,Катражка
Кодацьке,Дніпропетровська область,Кодацьке,Кодацкое,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Kodatske,Kodatskoe,Кодацкое
Котлярівське,Дніпропетровська область,Котлярівське,Котляровское,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Kotliarivske,Kotlyarovskoe,Котляровское
Козачий Гай,Дніпропетровська область,Козачий Гай,Казачий Гай,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Kozachyi Hai,Kazachiy Gay,Казачий Гай
Київське,Дніпропетровська область,Київське,Киевское,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Kyivske,Kievskoe,Киевское
Кислянка,Дніпропетровська область,Кислянка,Кислянка,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Kyslianka,Kislyanka,Кислянка
Лубянка,Дніпропетровська область,Луб'янка,Лубянка,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Lubianka,Lubyanka,Лубянка
Майське,Дніпропетровська область,Майське,Майское,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Maiske,Mayskoe,Майское
Марьинка,Дніпропетровська область,Мар'їнка,Марьинка,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Marynka,Marinka,Марьинка
Мажари,Дніпропетровська область,Мажари,Мажары,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Mazhary,Mazhary,Мажары
Надеждине,Дніпропетровська область,Надеждине,Надеждине,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Nadezhdyne,Nadezhdine,Надеждине
Ненаситець,Дніпропетровська область,Ненаситець,Ненасытец,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Nenasytets,Nenasytets,Ненасытец
Носачі,Дніпропетровська область,Носачі,Носачи,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Nosachi,Nosachi,Носачи
Новочернігівське,Дніпропетровська область,Новочернігівське,Новочерниговское,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Novochernihivske,Novochernigovskoe,Новочерниговское
Новогніде,Дніпропетровська область,Новогніде,Новогниде,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Novohnide,Novognide,Новогниде
Новоіларіонівське,Дніпропетровська область,Новоіларіонівське,Новоиларионовское,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Novoilarionivske,Novoilarionovskoe,Новоиларионовское
Новоолександропіль,Дніпропетровська область,Новоолександропіль,Новоалександрополь,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Novooleksandropil,Novoaleksandropol,Новоалександрополь
Новопавлоградське,Дніпропетровська область,Новопавлоградське,Новопавлоградское,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Novopavlohradske,Novopavlogradskoe,Новопавлоградское
Нововознесенка,Дніпропетровська область,Нововознесенка,Нововознесенка,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Novovoznesenka,Novovoznesenka,Нововознесенка
Новий Посьолок,Дніпропетровська область,Новий Посьолок,Новый Поселок,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Novyi Posolok,Novyy Poselok,Новый Поселок
Обоянівське,Дніпропетровська область,Обоянівське,Обояновское,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Oboianivske,Oboyanovskoe,Обояновское
Парне,Дніпропетровська область,Хлопець,Парень,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Parne,Paren,Парень
Партизани,Дніпропетровська область,Партизани,Партизаны,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Partyzany,Partizany,Партизаны
Половье,Дніпропетровська область,Половье,Половье,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Polove,Polove,Половье
Попове,Дніпропетровська область,Попове,Попове,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Popove,Popove,Попове
Пристень,Дніпропетровська область,Пристень,Пристень,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Prysten,Pristen,Пристень
Писарівка,Дніпропетровська область,Писарівка,Писаревка,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Pysarivka,Pisarevka,Писаревка
Раївка,Дніпропетровська область,Раївка,Раевка,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Raivka,Raevka,Раевка
Ракове,Дніпропетровська область,Ракове,Раковое,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Rakove,Rakovoe,Раковое
Роздолля,Дніпропетровська область,Роздолля,Раздолье,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Rozdollia,Razdole,Роздолля
Рудево-Миколаївка,Дніпропетровська область,Рудево-Миколаївка,Рудево-Николаевка,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Rudevo-Mykolaivka,Rudevo-Nikolaevka,Рудево-Николаевка
Сад,Дніпропетровська область,Сад,Сад,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Sad,Sad,Сад
Шахтарське,Дніпропетровська область,Шахтарське,Шахтерское,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Shakhtarske,Shakhterskoe,Шахтерское
Шевченківське,Дніпропетровська область,Шевченківське,Шевченковское,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Shevchenkivske,Shevchenkovskoe,Шевченковское
Широкосмоленка,Дніпропетровська область,Широкосмоленка,Широкосмоленка,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Shyrokosmolenka,Shirokosmolenka,Широкосмоленка
Славгород,Дніпропетровська область,Славгород,Славгород,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Slavhorod,Slavgorod,Славгород
Старолозуватка,Дніпропетровська область,Старолозуватка,Старолозуватка,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Starolozuvatka,Starolozuvatka,Старолозуватка
Старовишневецьке,Дніпропетровська область,Старовишневецьке,Старовишневецкое,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Starovyshnevetske,Starovishnevetskoe,Старовишневецкое
Суха Калина,Дніпропетровська область,Суха Калина,Сухая Калина,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Sukha Kalyna,Sukhaya Kalina,Сухая Калина
Тернове,Дніпропетровська область,Тернове,Терновое,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Ternove,Ternovoe,Терновое
Терса,Дніпропетровська область,Терса,Терса,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Tersa,Tersa,Терса
Токове,Дніпропетровська область,Токове,Токове,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Tokove,Tokove,Токове
Третяківка,Дніпропетровська область,Третяківка,Третьяковка,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Tretiakivka,Tretyakovka,Третьяковка
Тургеневка,Дніпропетровська область,Тургенівка,Тургеневка,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Turhenevka,Turgenevka,Тургеневка
Василівка-На-Дніпрі,Дніпропетровська область,Василівка-На-Дніпрі,Васильевка-На-Днепре,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Vasylivka-Na-Dnipri,Vasilevka-Na-Dnepre,Васильевка-На-Днепре
Володимирівське,Дніпропетровська область,Володимирівське,Володимирівське,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Volodymyrivske,Volodimirіvske,Владимировское
Воронівка,Дніпропетровська область,Воронівка,Вороновка,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Voronivka,Voronovka,Вороновка
Воронове,Дніпропетровська область,Воронове,Вороново,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Voronove,Voronovo,Вороново
Ясне,Дніпропетровська область,Ясне,Ясное,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Yasne,Yasnoe,Ясное
Зайцеве,Дніпропетровська область,Зайцеве,Зайцево,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Zaitseve,Zaytsevo,Зайцево
Запоріжжя-Грудувате,Дніпропетровська область,Запоріжжя-Грудувате,Запорожье-Грудувате,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Zaporizhzhia-Hruduvate,Zaporozhe-Gruduvate,Запорожье-Грудувате
Заячье,Дніпропетровська область,Заячий,Заячий,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Zaiache,Zayachiy,Заячий
Знаменівське,Дніпропетровська область,Знаменівське,Знаменовское,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Znamenivske,Znamenovskoe,Знаменовское
Баркове,Дніпропетровська область,Баркове,Баркове,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Barkove,Barkove,Баркове
Чайки,Дніпропетровська область,Чайка,Чайка,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Chaiky,Chayka,Чайка
Червоноукраїнка,Дніпропетровська область,Червоноукраїнка,Червоноукраинка,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Chervonoukrainka,Chervonoukrainka,Червоноукраинка
Добра Надія,Дніпропетровська область,Добра Надія,Добра Надія,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Dobra Nadiia,Dobra Nadіya,Добрая Надежда
Гарбузівка,Дніпропетровська область,Гарбузівка,Тыквочка,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Harbuzivka,Tykvochka,Гарбузовка
Глухе,Дніпропетровська область,Глухе,Глухое,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Hlukhe,Glukhoe,Глухое
Грушеве,Дніпропетровська область,Грушеве,Грушевое,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Hrusheve,Grushevoe,Грушевое
Катьощине,Дніпропетровська область,Катьощине,Катещино,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Katoshchyne,Kateshchino,Катещино
Краснопіль,Дніпропетровська область,Краснопіль,Краснополь,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Krasnopil,Krasnopol,Краснополь
Кисличувата,Дніпропетровська область,Кисличувата,Кисличувата,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Kyslychuvata,Kislichuvata,Кисличувата
Китайгородка,Дніпропетровська область,Китайгородка,Китайгородка,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Kytaihorodka,Kitaygorodka,Китайгородка
Мирове,Дніпропетровська область,Мирове,Мировое,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Myrove,Mirovoe,Мировое
Настасівка,Дніпропетровська область,Настасівка,Настасівка,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Nastasivka,Nastasіvka,Настасовка
Новокам'янка,Дніпропетровська область,Новокам'янка,Новокаменка,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Novokamianka,Novokamenka,Новокаменка
Новокатьощине,Дніпропетровська область,Новокатьощине,Новокатьощине,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Novokatoshchyne,Novokatoshchine,Новокатьощине
Новокраснопіль,Дніпропетровська область,Новокраснопіль,Новокраснополь,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Novokrasnopil,Novokrasnopol,Новокраснополь
Новокиївка,Дніпропетровська область,Новокиївка,Новокиївка,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Novokyivka,Novokiїvka,Новокиевка
Прогрес,Дніпропетровська область,Прогрес,Прогресс,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Prohres,Progress,Прогресс
Стрюківка,Дніпропетровська область,Стрюківка,Стрюковка,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Striukivka,Stryukovka,Стрюковка
Топила,Дніпропетровська область,Топити,Топить,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Topyla,Topit,Топить
Урожайне,Дніпропетровська область,Урожайне,Урожайное,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Urozhaine,Urozhaynoe,Урожайное
Весела Федорівка,Дніпропетровська область,Весела Федорівка,Веселая Федоровка,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Vesela Fedorivka,Veselaya Fedorovka,Веселая Федоровка
Вищетарасівка,Дніпропетровська область,Вищетарасівка,Вищетарасівка,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Vyshchetarasivka,Vishchetarasіvka,Вышетарасовка
Виводове,Дніпропетровська область,Виводове,Виводове,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Vyvodove,Vivodove,Виводове
Запорізька Балка,Дніпропетровська область,Запорізька Балка,Запорожская Балка,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Zaporizka Balka,Zaporozhskaya Balka,Запорожская Балка
Жмерине,Дніпропетровська область,Жмерине,Жмерино,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Zhmeryne,Zhmerino,Жмерино
Артемівка,Дніпропетровська область,Артемівка,Артемовка,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Artemivka,Artemovka,Артемовка
Аврамівка,Дніпропетровська область,Аврамівка,Аврамовка,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Avramivka,Avramovka,Аврамовка
Бондареве,Дніпропетровська область,Бондареве,Бондареве,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Bondareve,Bondareve,Бондареве
Бровки,Дніпропетровська область,Бровка,Бровка,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Brovky,Brovka,Бровка
Чаплине,Дніпропетровська область,Чапліні,Чапліні,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Chaplyne,Chaplіnі,Чаплини
Дебальцеве,Дніпропетровська область,Дебальцеве,Дебальцево,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Debaltseve,Debaltsevo,Дебальцево
Дібрівка,Дніпропетровська область,Дібрівка,Дубравка,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Dibrivka,Dubravka,Дубравка
Добровілля,Дніпропетровська область,Добровілля,Добровольчество,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Dobrovillia,Dobrovolchestvo,Доброволье
Довге,Дніпропетровська область,Довге,Длинное,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Dovhe,Dlinnoe,Довге
Дубовики,Дніпропетровська область,Дубовик,Дубовик,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Dubovyky,Dubovik,Дубовик
Гришаї,Дніпропетровська область,Гришаї,Гришаї,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Hryshai,Grishaї,Гришаи
Хуторо-Чаплине,Дніпропетровська область,Хуторо-Чаплине,Хуторо-Чаплино,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Khutoro-Chaplyne,Khutoro-Chaplino,Хуторо-Чаплино
Хвилі,Дніпропетровська область,Хвилі,Волны,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Khvyli,Volny,Волны
Інтернаціональне,Дніпропетровська область,Інтернаціональне,Интернациональное,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Internatsionalne,Internatsionalnoe,Интернациональное
Іванівське,Дніпропетровська область,Іванівське,Ивановское,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Ivanivske,Ivanovskoe,Ивановское
Каплистівка,Дніпропетровська область,Каплистівка,Часовня,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Kaplystivka,Chasovnya,Каплистовка
Касаєве,Дніпропетровська область,Касаєве,Касаево,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Kasaieve,Kasaevo,Касаево
Кобзар,Дніпропетровська область,Кобзар,Кобзарь,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Kobzar,Kobzar,Кобзарь
Колоно-Миколаївка,Дніпропетровська область,Колоно-Миколаївка,Колоно-Николаевка,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Kolono-Mykolaivka,Kolono-Nikolaevka,Колоно-Николаевка
Копани,Дніпропетровська область,Копань,Копань,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Kopany,Kopan,Копань
Краснощокове,Дніпропетровська область,Краснощокове,Краснощеково,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Krasnoshchokove,Krasnoshchekovo,Краснощеково
Крутеньке,Дніпропетровська область,Крутеньке,Крутеньке,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Krutenke,Krutenke,Крутенький
Крутоярка,Дніпропетровська область,Крутоярка,Крутоярка,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Krutoiarka,Krutoyarka,Крутоярка
Криворізьке,Дніпропетровська область,Криворізьке,Криворожское,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Kryvorizke,Krivorozhskoe,Криворожское
Луб'янці,Дніпропетровська область,Луб'янці,Лубянке,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Lubiantsi,Lubyanke,Лубянцы
Лиса Балка,Дніпропетровська область,Лиса Балка,Лысая Балка,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Lysa Balka,Lysaya Balka,Лысая Балка
Манвелівка,Дніпропетровська область,Манвелівка,Манвелівка,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Manvelivka,Manvelіvka,Манвеловка
Медичне,Дніпропетровська область,Медичне,Медицинское,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Medychne,Meditsinskoe,Медичне
Новотерсянське,Дніпропетровська область,Новотерсянське,Новотерсянское,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Novotersianske,Novotersyanskoe,Новотерсянское
Нововасильківка,Дніпропетровська область,Нововасильківка,Нововасильковка,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Novovasylkivka,Novovasilkovka,Нововасильковка
Нововоскресенівка,Дніпропетровська область,Нововоскресенівка,Нововоскресеновка,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Novovoskresenivka,Novovoskresenovka,Нововоскресеновка
Перепеляче,Дніпропетровська область,Перепеляче,Перепелиное,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Perepeliache,Perepelinoe,Перепелиное
Перевальське,Дніпропетровська область,Перевальське,Перевальське,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Perevalske,Perevalske,Перевальское
Петрикове,Дніпропетровська область,Петрикове,Петрикове,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Petrykove,Petrikove,Петрикове
Правда,Дніпропетровська область,Правда,Правда,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Pravda,Pravda,Правда
Преображенське,Дніпропетровська область,Преображенське,Преображенское,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Preobrazhenske,Preobrazhenskoe,Преображенское
Пришиб,Дніпропетровська область,Пришиб,Пришиб,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Pryshyb,Prishib,Пришиб
Письменне,Дніпропетровська область,Письменне,Письменное,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Pysmenne,Pismennoe,Письменное
Рубанівське,Дніпропетровська область,Рубанівське,Рубановское,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Rubanivske,Rubanovskoe,Рубановское
Шев'якине,Дніпропетровська область,Шев'якіне,Шевякино,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Sheviakyne,Shevyakino,Шевякино
Солонці,Дніпропетровська область,Солонці,Солонцы,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Solontsi,Solontsy,Солонцы
Свиридове,Дніпропетровська область,Свиридове,Свиридове,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Svyrydove,Sviridove,Свиридове
Таранове,Дніпропетровська область,Таранове,Таранове,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Taranove,Taranove,Таранове
Васильківка,Дніпропетровська область,Васильківка,Васильківка,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Vasylkivka,Vasilkіvka,Васильковка
Великоолександрівка,Дніпропетровська область,Великоолександрівка,Великоалександровка,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Velykooleksandrivka,Velikoaleksandrovka,Великоалександровка
Вербівське,Дніпропетровська область,Вербівське,Вербовское,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Verbivske,Verbovskoe,Вербовское
Воронізьке,Дніпропетровська область,Воронізьке,Воронежское,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Voronizke,Voronezhskoe,Воронежское
Вовчанське,Дніпропетровська область,Вовчанське,Волчанское,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Vovchanske,Volchanskoe,Волчанское
Возвратне,Дніпропетровська область,Возвратне,Возвратне,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Vozvratne,Vozvratne,Возвратне
Зелена Роща,Дніпропетровська область,Зелена Роща,Зеленая Роща,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Zelena Roshcha,Zelenaya Roshcha,Зеленая Роща
Журавлинка,Дніпропетровська область,Журавлинка,Журавлинка,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Zhuravlynka,Zhuravlinka,Журавлинка
Адалимівка,Дніпропетровська область,Адалимівка,Адалимівка,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Adalymivka,Adalimіvka,Адалимовка
Авксенівка,Дніпропетровська область,Авксенівка,Авксеновка,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Avksenivka,Avksenovka,Авксеновка
Безкронівка,Дніпропетровська область,Безкронівка,Безкронівка,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Bezkronivka,Bezkronіvka,Безкроновка
Бородаївка,Дніпропетровська область,Бородаївка,Бородаевка,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Borodaivka,Borodaevka,Бородаевка
Бородаївські Хутори,Дніпропетровська область,Бородаївські Хутори,Бородаевские Хутора,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Borodaivski Khutory,Borodaevskie Khutora,Бородаевские Хутора
Боровківка,Дніпропетровська область,Боровківка,Боровківка,Dnipropetrovsk Oblast,Dnipropetrovsk Region,Borovkivka,Borovkіvka,Боровковка
